gain_ratio,resolution,resolution_error,chi_squared
9.792,0.017790964433183492,0.0005016711770879155,7.790289053844204
9.8073,0.017650193150164164,0.0005017070860015501,7.286548407256352
9.8226,0.017514491437346097,0.0005019272526041548,5.946306931872556
9.8379,0.017432017255856753,0.0005016738515590619,5.092338571567888
9.8532,0.017295596074116744,0.000501805806695951,4.259462803643206
9.8685,0.017229029404203414,0.0005017123495336146,3.811517951636661
9.8838,0.017084815881928492,0.000501963955000419,3.8386093634877647
9.8991,0.017017532731953406,0.0005017783053699141,3.9175765987972087
9.9144,0.016969372169150884,0.000501824491810342,3.6312502071218637
9.9297,0.016847406981676746,0.0005018791434709304,4.039888981651711
9.9450,0.016811421962359,0.000501870686445529,4.901110173578746
9.9603,0.01671134663196859,0.0005020435237868277,4.797204668417834
9.9756,0.016612037870069287,0.0005030167105968909,5.928417972432519
9.9909,0.016599037795114586,0.0005021435817946227,6.4401465521041485
10.0062,0.01661387771361541,0.0005020360699374765,7.499387666342106
10.0215,0.01652990091668824,0.000502260344368624,9.376514355554608
10.0368,0.016548072819814123,0.0005019888400379603,9.095314546162195
10.0521,0.01651657019487602,0.000502428073016586,10.991677514160013
10.0674,0.016552108959243972,0.0005032235861076496,12.451138072126192
10.0827,0.016617553600740725,0.0005025182533403543,12.382634491615207
10.0980,0.016601335772783905,0.0005023229592124041,14.041241717871193
10.1133,0.016643337922667246,0.0005024423877545908,14.997470062094353
10.1286,0.016751976896694452,0.0005022409989492179,15.24551894715968
10.1439,0.016872832106710978,0.0005024739059843426,16.25569270006567
10.1592,0.01702681009281448,0.0005026453885509637,15.460614702672654
10.1745,0.0171917651574624,0.0005021638542114148,15.828119061329506
10.1898,0.017401859579470682,0.0005025596906446568,15.139080269980175
10.2051,0.017489197353363243,0.0005024726283394147,14.999046281305397
10.2204,0.017732662454499292,0.0005020559154604935,14.018686243246156
10.2357,0.0179173103592386,0.0005019520458364442,12.769329789171733
10.2510,0.018035192059107575,0.0005021083338818571,10.852217254450824
10.2663,0.018194760116692816,0.0005019431031736529,10.287731220629093
10.2816,0.018374853388784803,0.0005020335656872795,8.575581905925443
10.2969,0.018529297379899074,0.0005027209352134852,6.918486767443981
10.3122,0.018660352769250453,0.0005019294214809564,5.740902516567041
10.3275,0.01879875705217821,0.0005019091990456076,4.5600730398960545
10.3428,0.01896141786411067,0.0005018623453062615,3.928306134976323
10.3581,0.01912531908227456,0.0005018834192746991,3.3266069918015844
10.3734,0.019234784428674757,0.0005019697334029727,3.331527869089173
