gain_ratio,resolution,resolution_error,chi_squared
9.996,0.028456354736251924,0.0005088051939172548,5.476928486886632
10.0164,0.02836954171253745,0.0005094169649018515,5.345570672309828
10.0368,0.028299746173782715,0.0005123042102386099,5.435850870149407
10.0572,0.02827575528955409,0.0005915597257096797,5.571409706084595
10.0776,0.02817784667089856,0.0005129473527041557,5.66491828389764
10.0980,0.028032240240613883,0.0005166243771927093,5.443772929639654
10.1184,0.027897562783852848,0.0005370566249099075,5.79456928984515
10.1388,0.02775025146350716,0.000511155242286629,5.33302581805476
10.1592,0.02759347712623551,0.0005135040363129109,5.255832679721701
10.1796,0.027444780859535497,0.0005112338120202913,4.951223364952389
10.2000,0.027240345024497133,0.0005124156228500942,4.680503751824552
10.2204,0.027116270889391288,0.0005109323346498234,4.132997521039638
10.2408,0.026934780509842406,0.0005123802822153654,3.722889015132142
10.2612,0.02681085675086933,0.0005108559453846289,3.3642500554805337
10.2816,0.026691386826300796,0.0005132583572833539,2.9412762615221353
10.3020,0.026555487413866655,0.0005114313273636068,2.521283457460014
10.3224,0.026451548809021102,0.0005145732598315497,2.1970434370965894
10.3428,0.026356445529025305,0.0005132296519880413,2.049414810251699
10.3632,0.026239683769133236,0.000511404851581972,1.67682323247591
10.3836,0.02618978415092478,0.0005117968759899821,1.606990411393142
10.4040,0.026200902695055147,0.0005240905131552583,1.6047957026293356
10.4244,0.02614435752598477,0.0005123471333055989,1.4822832965890262
10.4448,0.026178801633041635,0.0005153025502559529,1.599419631823414
10.4652,0.026228819056920188,0.0005107125238268149,1.7527960249431238
10.4856,0.02624397612142958,0.0005128709877274943,1.9164715753744281
10.5060,0.026321490513883706,0.0005101430922769649,2.273469205257753
10.5264,0.02637091517362284,0.0005146974683217773,2.543801213706625
10.5468,0.02643485131054559,0.0005106975651534497,2.843566276449227
10.5672,0.026531763418645063,0.0005094660891207261,3.209807421227808
10.5876,0.02664234670790777,0.000509235985036559,3.533461156229572
10.6080,0.026741909257346787,0.0005084015024593381,4.12803907150527
10.6284,0.026908432798823177,0.0005110380592358166,4.0287847996755355
10.6488,0.02705932885722272,0.0005076438849259319,4.827090537790526
10.6692,0.02714675411219488,0.0005073209087733824,5.473336358895873
10.6896,0.02723161999800948,0.0005070436721165784,6.198308271329953
10.7100,0.027343904144283844,0.0005086435921195318,6.722449643579678
10.7304,0.02750185951523225,0.0005063058394536259,7.188676472793298
10.7508,0.027609805053883357,0.0005068733660970246,7.178959699402439
10.7712,0.027583966938584812,0.0005064852660290678,7.756970620669329
10.7916,0.027590344691295756,0.0005067141704875185,8.950861339793322
10.8120,0.027580666843502747,0.000506751783754301,9.956489829104061
