gain_ratio,resolution,resolution_error,chi_squared
9.792,0.017801859135624175,0.0005016271706402042,7.935754098674305
9.8042,0.01767547399004048,0.0005018324843773858,7.273105727713206
9.8164,0.01759167470418122,0.0005016345896632241,6.311621551864681
9.8287,0.01748096008719693,0.000501757022466688,5.462270588605869
9.8409,0.01741963177698559,0.0005017318470111712,4.8942266642212555
9.8532,0.01729059636291101,0.0005017936209392123,4.298620188499714
9.8654,0.017247474045944112,0.0005017533901128496,3.8516923569629906
9.8776,0.017180725632451044,0.0005017859233439702,3.984508468227379
9.8899,0.01705535517686995,0.0005018797074539576,3.6411169947406425
9.9021,0.017008865316590644,0.0005017743927579169,3.9393354752233276
9.9144,0.01697422173721667,0.0005018352583906614,3.6400210512730715
9.9266,0.016859218708230858,0.0005019307888182263,3.5010978420833503
9.9388,0.01682536534336836,0.0005018538271644416,4.286181516984252
9.9511,0.016797830594645843,0.0005018654306082465,5.064026363474601
9.9633,0.0167571552806097,0.0005019251505502487,5.470662816281203
9.9756,0.016603488263845164,0.0005028087455995403,5.97234376545005
9.9878,0.01666229733841407,0.0005020532247710294,6.644219465737446
10.0000,0.016659089140207535,0.0005022105196271699,7.011704235951319
10.0123,0.016617447445315358,0.0005020829309364174,8.511222217364129
10.0245,0.016613889941106443,0.0005022317837786979,9.61546935040025
10.0368,0.016646736907207627,0.0005019685067094686,9.237470246467462
10.0490,0.0165278218126567,0.000502441959386271,10.721847920124087
10.0612,0.01653608946561022,0.0005027017410952095,11.907951048715386
10.0735,0.01664515305273367,0.0005023212979014236,11.901733490281364
10.0857,0.016594575992268722,0.000502426252365664,12.849520242074123
10.0980,0.016601332338427446,0.0005023012592168383,13.949828985150251
10.1102,0.016628071809120955,0.0005024185296397532,15.000344568029387
10.1224,0.01686066353519216,0.0005030650735187646,14.572096506859333
10.1347,0.016976945423773867,0.0005020683846410732,15.501979684129044
10.1469,0.016891336536065983,0.0005025602609879211,17.22107693013962
10.1592,0.01702176257020557,0.0005025963299071917,15.80417362492182
10.1714,0.0171067048011803,0.0005046661787031714,16.215541125031955
10.1836,0.017348115594288747,0.0005022773016259854,15.39669222042948
10.1959,0.017409352361790597,0.0005021541388885966,14.804463726223931
