gain_ratio,resolution,resolution_error,chi_squared
8.670,0.029304129780257187,0.0005146874081545822,7.389334736549432
8.8230,0.030137489554672006,0.0005123014403389294,38.551556423655384
8.9760,0.0306693432882294,0.0005107000390296879,23.601961473121072
9.1290,0.031532428669634065,0.0005055165221952095,9.337152155710745
9.2820,0.029185453151425764,0.0005061476511187439,10.34931624382172
9.4350,0.02746723346952781,0.0005252355755573553,9.229621018417856
9.5880,0.027359340145317917,0.0005073928604684779,7.944609411099598
9.7410,0.027797143065492753,0.0005098986138943867,6.4587343993479545
9.8940,0.028423889185175973,0.0005083319335247651,6.472688115734288
10.0470,0.02848261289687003,0.0005098611467730421,7.170622960775285
10.2000,0.027364006436407913,0.0005147700401878,5.900906052006684
10.3530,0.02642474862889427,0.0005143057626328416,2.2652043034724363
10.5060,0.026335040588713846,0.000510566024074528,2.7272487918048074
10.6590,0.027121640218290232,0.0005080489386664569,6.939755412298844
10.8120,0.027674989483979517,0.000506152102493699,11.930821097477486
10.9650,0.027563104417674844,0.0005072220244561711,37.71917627573455
11.1180,0.02765189445994248,0.0005054678547325088,88.94976249810189
11.2710,0.027849552023861034,0.0005053177427893157,161.25723343185305
11.4240,0.027953317211113674,0.0005060130690829781,217.4199392546078
11.5770,0.028319993864427722,0.0005046709718962176,116.89575026466011
11.7300,0.028553356230345297,0.000505161927456855,57.66854884387872
